source,title,mrp,url
1mg,"Omron MC-246 Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Digital Thermometer with One Touch Operation for Child and Adult | by Tata 1mg",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Dr Morepen MT 100 Digi Classic Digital Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Flexible Tip Digital Thermometer with One Touch Operation for Child and Adult | by Tata 1mg",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Ozocheck Non-Contact Infrared Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Carent DMT437 Waterproof Instant Flexible Digital Thermometer for Kids Frog",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Carent DMT437 Waterproof Instant Flexible Digital Thermometer for Kids Baby Bear",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Arokleen IM-9001 Infrared Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Sahyog Wellness Digital Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"HeTaida HTD8813C Non-Contact Digital Infra Red Body Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Jumper JPD FR202 Digital Non Contac Infra Red Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Medtech TMP 02 Handy Digital Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Rossmax HC700 Temple Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Sara+Care IR 101 Infra Red Forehead Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"K-Life DT 01 Digital Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Sara+Care Digital Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Ambitech PHX 01 Digital Thermometer White and Grey",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"MCP Healthcare Digital Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Ambitech PHX 01 Digital Thermometer White",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Combo Pack of Tata 1mg Cotton Crepe Bandage 8cm & Tata 1mg Digital Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Control D Digital Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"HealthSense LFR30B Digital Infrared Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Dr Morepen MT 110 DIgital Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Beurer FT 09/1 Clinical Thermometer Blue",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"MCP Medical Infra Red Forehead Thermometer for Baby & Adult",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Dr Amgenic Digital Clinical Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Sahyog Wellness Combo Pack of 2306 Multi Function Non-Contact Body & Object Infra Red Thermometer and Digital Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Intex Thermobeam Infra Red Thermometer with Advance Laser Pointing Feature",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Carent DMT4335 Premium Waterproof Flexible Tip Digital Thermometer Blue",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"AccuSure MT 1027 Digital Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Dongbei ZST-A Infrared Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Hicks O-01 Oval Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Carent PT 111A Flexible Waterproof Digital Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Makers MK8240A Digital Non-Contact Infra Red Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Sahyog Wellness 2306 Multi Function Non-Contact Body & Object Infra Red Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Control D CD01 Digital Thermometer",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"MCP Flexible Tip Waterproof Digital Thermometer Orange",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Tata 1mg First Aid Combo for Emergency Medication, Dressing and Pain Management",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Hicks DMT-102 Thermometer with Beep",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"iGRiD IGT023 Forehead Digital Infra Thermometer for Babies & Adults",,https://www.1mg.com/categories/health-conditions/fever/thermometers-167
1mg,"Omron MC-246 Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Digital Thermometer with One Touch Operation for Child and Adult | by Tata 1mg",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Dr Morepen MT 100 Digi Classic Digital Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Flexible Tip Digital Thermometer with One Touch Operation for Child and Adult | by Tata 1mg",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Ozocheck Non-Contact Infrared Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Carent DMT437 Waterproof Instant Flexible Digital Thermometer for Kids Frog",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Carent DMT437 Waterproof Instant Flexible Digital Thermometer for Kids Baby Bear",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Arokleen IM-9001 Infrared Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Sahyog Wellness Digital Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"HeTaida HTD8813C Non-Contact Digital Infra Red Body Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Jumper JPD FR202 Digital Non Contac Infra Red Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Medtech TMP 02 Handy Digital Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Rossmax HC700 Temple Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Sara+Care IR 101 Infra Red Forehead Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"K-Life DT 01 Digital Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Sara+Care Digital Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Ambitech PHX 01 Digital Thermometer White and Grey",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"MCP Healthcare Digital Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Ambitech PHX 01 Digital Thermometer White",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Combo Pack of Tata 1mg Cotton Crepe Bandage 8cm & Tata 1mg Digital Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Control D Digital Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"HealthSense LFR30B Digital Infrared Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Dr Morepen MT 110 DIgital Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Beurer FT 09/1 Clinical Thermometer Blue",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"MCP Medical Infra Red Forehead Thermometer for Baby & Adult",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Dr Amgenic Digital Clinical Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Sahyog Wellness Combo Pack of 2306 Multi Function Non-Contact Body & Object Infra Red Thermometer and Digital Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Intex Thermobeam Infra Red Thermometer with Advance Laser Pointing Feature",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Carent DMT4335 Premium Waterproof Flexible Tip Digital Thermometer Blue",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"AccuSure MT 1027 Digital Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Dongbei ZST-A Infrared Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Hicks O-01 Oval Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Carent PT 111A Flexible Waterproof Digital Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Makers MK8240A Digital Non-Contact Infra Red Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Sahyog Wellness 2306 Multi Function Non-Contact Body & Object Infra Red Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Control D CD01 Digital Thermometer",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"MCP Flexible Tip Waterproof Digital Thermometer Orange",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Tata 1mg First Aid Combo for Emergency Medication, Dressing and Pain Management",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"Hicks DMT-102 Thermometer with Beep",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167
1mg,"iGRiD IGT023 Forehead Digital Infra Thermometer for Babies & Adults",,https://www.1mg.com/categories/medical-devices/health-monitors/thermometers-167